script,letter,global_index,canonical_index,canonical_glyph,code_point,instruction_image,output_image
Georgian,რ,187,187,⡌,U+10E0,Georgian_U+10E0_instruction.png,Georgian_U+10E0_output.png
Georgian,ს,188,188,⡍,U+10E1,Georgian_U+10E1_instruction.png,Georgian_U+10E1_output.png
Georgian,ტ,189,189,⡎,U+10E2,Georgian_U+10E2_instruction.png,Georgian_U+10E2_output.png
Georgian,უ,190,190,⡏,U+10E3,Georgian_U+10E3_instruction.png,Georgian_U+10E3_output.png
Georgian,ფ,191,191,⡐,U+10E4,Georgian_U+10E4_instruction.png,Georgian_U+10E4_output.png
Georgian,ქ,192,192,⡑,U+10E5,Georgian_U+10E5_instruction.png,Georgian_U+10E5_output.png
Georgian,ღ,193,193,⡒,U+10E6,Georgian_U+10E6_instruction.png,Georgian_U+10E6_output.png
Georgian,ყ,194,194,⡓,U+10E7,Georgian_U+10E7_instruction.png,Georgian_U+10E7_output.png
Georgian,შ,195,195,⡔,U+10E8,Georgian_U+10E8_instruction.png,Georgian_U+10E8_output.png
Georgian,ჩ,196,196,⡕,U+10E9,Georgian_U+10E9_instruction.png,Georgian_U+10E9_output.png
Georgian,ც,197,197,⡖,U+10EA,Georgian_U+10EA_instruction.png,Georgian_U+10EA_output.png
Georgian,ძ,198,198,⡗,U+10EB,Georgian_U+10EB_instruction.png,Georgian_U+10EB_output.png
Georgian,წ,199,199,⡘,U+10EC,Georgian_U+10EC_instruction.png,Georgian_U+10EC_output.png
Georgian,ჭ,200,200,⡙,U+10ED,Georgian_U+10ED_instruction.png,Georgian_U+10ED_output.png
Georgian,ხ,201,201,⡚,U+10EE,Georgian_U+10EE_instruction.png,Georgian_U+10EE_output.png
Georgian,ჯ,202,202,⡛,U+10EF,Georgian_U+10EF_instruction.png,Georgian_U+10EF_output.png
Georgian,ჰ,203,203,⡜,U+10F0,Georgian_U+10F0_instruction.png,Georgian_U+10F0_output.png
Devanagari,अ,204,204,⡝,U+0905,Devanagari_U+0905_instruction.png,Devanagari_U+0905_output.png
Devanagari,आ,205,205,⡞,U+0906,Devanagari_U+0906_instruction.png,Devanagari_U+0906_output.png
Devanagari,इ,206,206,⡟,U+0907,Devanagari_U+0907_instruction.png,Devanagari_U+0907_output.png
Devanagari,ई,207,207,⡠,U+0908,Devanagari_U+0908_instruction.png,Devanagari_U+0908_output.png
Devanagari,उ,208,208,⡡,U+0909,Devanagari_U+0909_instruction.png,Devanagari_U+0909_output.png
Devanagari,ऊ,209,209,⡢,U+090A,Devanagari_U+090A_instruction.png,Devanagari_U+090A_output.png
Devanagari,ऋ,210,210,⡣,U+090B,Devanagari_U+090B_instruction.png,Devanagari_U+090B_output.png
Devanagari,ए,211,211,⡤,U+090F,Devanagari_U+090F_instruction.png,Devanagari_U+090F_output.png
Devanagari,ऐ,212,212,⡥,U+0910,Devanagari_U+0910_instruction.png,Devanagari_U+0910_output.png
Devanagari,ओ,213,213,⡦,U+0913,Devanagari_U+0913_instruction.png,Devanagari_U+0913_output.png
Devanagari,औ,214,214,⡧,U+0914,Devanagari_U+0914_instruction.png,Devanagari_U+0914_output.png
Devanagari,क,215,215,⡨,U+0915,Devanagari_U+0915_instruction.png,Devanagari_U+0915_output.png
Devanagari,ख,216,216,⡩,U+0916,Devanagari_U+0916_instruction.png,Devanagari_U+0916_output.png
Devanagari,ग,217,217,⡪,U+0917,Devanagari_U+0917_instruction.png,Devanagari_U+0917_output.png
Devanagari,घ,218,218,⡫,U+0918,Devanagari_U+0918_instruction.png,Devanagari_U+0918_output.png
Devanagari,ङ,219,219,⡬,U+0919,Devanagari_U+0919_instruction.png,Devanagari_U+0919_output.png
Devanagari,च,220,220,⡭,U+091A,Devanagari_U+091A_instruction.png,Devanagari_U+091A_output.png
Devanagari,छ,221,221,⡮,U+091B,Devanagari_U+091B_instruction.png,Devanagari_U+091B_output.png
Devanagari,ज,222,222,✶,U+091C,Devanagari_U+091C_instruction.png,Devanagari_U+091C_output.png
Devanagari,झ,223,223,✷,U+091D,Devanagari_U+091D_instruction.png,Devanagari_U+091D_output.png
Devanagari,ञ,224,224,✸,U+091E,Devanagari_U+091E_instruction.png,Devanagari_U+091E_output.png
Devanagari,ट,225,225,✹,U+091F,Devanagari_U+091F_instruction.png,Devanagari_U+091F_output.png
Devanagari,ठ,226,226,✺,U+0920,Devanagari_U+0920_instruction.png,Devanagari_U+0920_output.png
Devanagari,ड,227,227,✻,U+0921,Devanagari_U+0921_instruction.png,Devanagari_U+0921_output.png
Devanagari,ढ,228,228,✼,U+0922,Devanagari_U+0922_instruction.png,Devanagari_U+0922_output.png
Devanagari,ण,229,229,✽,U+0923,Devanagari_U+0923_instruction.png,Devanagari_U+0923_output.png
Devanagari,त,230,230,✾,U+0924,Devanagari_U+0924_instruction.png,Devanagari_U+0924_output.png
Devanagari,थ,231,231,✿,U+0925,Devanagari_U+0925_instruction.png,Devanagari_U+0925_output.png
Devanagari,द,232,232,❀,U+0926,Devanagari_U+0926_instruction.png,Devanagari_U+0926_output.png
Devanagari,ध,233,233,❁,U+0927,Devanagari_U+0927_instruction.png,Devanagari_U+0927_output.png
Devanagari,न,234,234,❂,U+0928,Devanagari_U+0928_instruction.png,Devanagari_U+0928_output.png
Devanagari,प,235,235,❃,U+092A,Devanagari_U+092A_instruction.png,Devanagari_U+092A_output.png
Devanagari,फ,236,236,❄,U+092B,Devanagari_U+092B_instruction.png,Devanagari_U+092B_output.png
Devanagari,ब,237,237,❅,U+092C,Devanagari_U+092C_instruction.png,Devanagari_U+092C_output.png
Devanagari,भ,238,238,❆,U+092D,Devanagari_U+092D_instruction.png,Devanagari_U+092D_output.png
Devanagari,म,239,239,❇,U+092E,Devanagari_U+092E_instruction.png,Devanagari_U+092E_output.png
Devanagari,य,240,240,❈,U+092F,Devanagari_U+092F_instruction.png,Devanagari_U+092F_output.png
Devanagari,र,241,241,❉,U+0930,Devanagari_U+0930_instruction.png,Devanagari_U+0930_output.png
Devanagari,ल,242,242,❊,U+0932,Devanagari_U+0932_instruction.png,Devanagari_U+0932_output.png
Devanagari,व,243,243,❋,U+0935,Devanagari_U+0935_instruction.png,Devanagari_U+0935_output.png
Devanagari,श,244,244,★,U+0936,Devanagari_U+0936_instruction.png,Devanagari_U+0936_output.png
Devanagari,ष,245,245,☆,U+0937,Devanagari_U+0937_instruction.png,Devanagari_U+0937_output.png
Devanagari,स,246,246,✩,U+0938,Devanagari_U+0938_instruction.png,Devanagari_U+0938_output.png
Devanagari,ह,247,247,✪,U+0939,Devanagari_U+0939_instruction.png,Devanagari_U+0939_output.png
Devanagari,ळ,248,248,✫,U+0933,Devanagari_U+0933_instruction.png,Devanagari_U+0933_output.png
Devanagari,ड़,249,249,✬,U+095C,Devanagari_U+095C_instruction.png,Devanagari_U+095C_output.png
Devanagari,ढ़,250,250,✭,U+095D,Devanagari_U+095D_instruction.png,Devanagari_U+095D_output.png
Tamil,அ,251,251,✮,U+0B85,Tamil_U+0B85_instruction.png,Tamil_U+0B85_output.png
Tamil,ஆ,252,252,✯,U+0B86,Tamil_U+0B86_instruction.png,Tamil_U+0B86_output.png
Tamil,இ,253,253,✰,U+0B87,Tamil_U+0B87_instruction.png,Tamil_U+0B87_output.png
Tamil,ஈ,254,254,✱,U+0B88,Tamil_U+0B88_instruction.png,Tamil_U+0B88_output.png
Tamil,உ,255,255,✲,U+0B89,Tamil_U+0B89_instruction.png,Tamil_U+0B89_output.png
Tamil,ஊ,256,256,✳,U+0B8A,Tamil_U+0B8A_instruction.png,Tamil_U+0B8A_output.png
Tamil,எ,257,257,✴,U+0B8E,Tamil_U+0B8E_instruction.png,Tamil_U+0B8E_output.png
Tamil,ஏ,258,258,✵,U+0B8F,Tamil_U+0B8F_instruction.png,Tamil_U+0B8F_output.png
Tamil,ஐ,259,259,☀,U+0B90,Tamil_U+0B90_instruction.png,Tamil_U+0B90_output.png
Tamil,ஒ,260,260,☁,U+0B92,Tamil_U+0B92_instruction.png,Tamil_U+0B92_output.png
Tamil,ஓ,261,261,☂,U+0B93,Tamil_U+0B93_instruction.png,Tamil_U+0B93_output.png
Tamil,ஔ,262,262,☃,U+0B94,Tamil_U+0B94_instruction.png,Tamil_U+0B94_output.png
Tamil,ஃ,263,263,☄,U+0B83,Tamil_U+0B83_instruction.png,Tamil_U+0B83_output.png
Tamil,க,264,264,☼,U+0B95,Tamil_U+0B95_instruction.png,Tamil_U+0B95_output.png
Tamil,ங,265,265,☽,U+0B99,Tamil_U+0B99_instruction.png,Tamil_U+0B99_output.png
Tamil,ச,266,266,☾,U+0B9A,Tamil_U+0B9A_instruction.png,Tamil_U+0B9A_output.png
Tamil,ஞ,267,267,♠,U+0B9E,Tamil_U+0B9E_instruction.png,Tamil_U+0B9E_output.png
Tamil,ட,268,268,♡,U+0B9F,Tamil_U+0B9F_instruction.png,Tamil_U+0B9F_output.png
Tamil,ண,269,269,♣,U+0BA3,Tamil_U+0BA3_instruction.png,Tamil_U+0BA3_output.png
Tamil,த,270,270,♤,U+0BA4,Tamil_U+0BA4_instruction.png,Tamil_U+0BA4_output.png
Tamil,ந,271,271,♦,U+0BA8,Tamil_U+0BA8_instruction.png,Tamil_U+0BA8_output.png
Tamil,ப,272,272,❤,U+0BAA,Tamil_U+0BAA_instruction.png,Tamil_U+0BAA_output.png
Tamil,ம,273,273,⚡,U+0BAE,Tamil_U+0BAE_instruction.png,Tamil_U+0BAE_output.png
Tamil,ய,274,274,⚔,U+0BAF,Tamil_U+0BAF_instruction.png,Tamil_U+0BAF_output.png
Tamil,ர,275,275,☯,U+0BB0,Tamil_U+0BB0_instruction.png,Tamil_U+0BB0_output.png
Tamil,ல,276,276,⚛,U+0BB2,Tamil_U+0BB2_instruction.png,Tamil_U+0BB2_output.png
Tamil,வ,277,277,⚗,U+0BB5,Tamil_U+0BB5_instruction.png,Tamil_U+0BB5_output.png
Tamil,ழ,278,278,⚙,U+0BB4,Tamil_U+0BB4_instruction.png,Tamil_U+0BB4_output.png
Tamil,ள,279,279,⚒,U+0BB3,Tamil_U+0BB3_instruction.png,Tamil_U+0BB3_output.png
Tamil,ற,280,280,⚚,U+0BB1,Tamil_U+0BB1_instruction.png,Tamil_U+0BB1_output.png
Tamil,ன,281,281,⚕,U+0BA9,Tamil_U+0BA9_instruction.png,Tamil_U+0BA9_output.png
Bengali,অ,282,282,⚖,U+0985,Bengali_U+0985_instruction.png,Bengali_U+0985_output.png
Bengali,আ,283,283,⚘,U+0986,Bengali_U+0986_instruction.png,Bengali_U+0986_output.png
Bengali,ই,284,284,⊏,U+0987,Bengali_U+0987_instruction.png,Bengali_U+0987_output.png
Bengali,ঈ,285,285,⊐,U+0988,Bengali_U+0988_instruction.png,Bengali_U+0988_output.png
Bengali,উ,286,286,⚓,U+0989,Bengali_U+0989_instruction.png,Bengali_U+0989_output.png
Bengali,ঊ,287,287,⚑,U+098A,Bengali_U+098A_instruction.png,Bengali_U+098A_output.png
Bengali,ঋ,288,288,〇,U+098B,Bengali_U+098B_instruction.png,Bengali_U+098B_output.png
Bengali,ঌ,289,289,⟁,U+098C,Bengali_U+098C_instruction.png,Bengali_U+098C_output.png
Bengali,এ,290,290,⧖,U+098F,Bengali_U+098F_instruction.png,Bengali_U+098F_output.png
Bengali,ঐ,291,291,⧗,U+0990,Bengali_U+0990_instruction.png,Bengali_U+0990_output.png
Bengali,ও,292,292,⧘,U+0993,Bengali_U+0993_instruction.png,Bengali_U+0993_output.png
Bengali,ঔ,293,293,⧙,U+0994,Bengali_U+0994_instruction.png,Bengali_U+0994_output.png
Bengali,ক,294,294,⧚,U+0995,Bengali_U+0995_instruction.png,Bengali_U+0995_output.png
Bengali,খ,295,295,⧛,U+0996,Bengali_U+0996_instruction.png,Bengali_U+0996_output.png
Bengali,গ,296,296,⟐,U+0997,Bengali_U+0997_instruction.png,Bengali_U+0997_output.png
Bengali,ঘ,297,297,⟑,U+0998,Bengali_U+0998_instruction.png,Bengali_U+0998_output.png
Bengali,ঙ,298,298,⟒,U+0999,Bengali_U+0999_instruction.png,Bengali_U+0999_output.png
Bengali,চ,299,299,⟓,U+099A,Bengali_U+099A_instruction.png,Bengali_U+099A_output.png
Bengali,ছ,300,300,⟔,U+099B,Bengali_U+099B_instruction.png,Bengali_U+099B_output.png
Bengali,জ,301,301,⟕,U+099C,Bengali_U+099C_instruction.png,Bengali_U+099C_output.png
Bengali,ঝ,302,302,⟖,U+099D,Bengali_U+099D_instruction.png,Bengali_U+099D_output.png
Bengali,ঞ,303,303,⟗,U+099E,Bengali_U+099E_instruction.png,Bengali_U+099E_output.png
Bengali,ট,304,304,⟘,U+099F,Bengali_U+099F_instruction.png,Bengali_U+099F_output.png
Bengali,ঠ,305,305,⟙,U+09A0,Bengali_U+09A0_instruction.png,Bengali_U+09A0_output.png
Bengali,ড,306,306,⟜,U+09A1,Bengali_U+09A1_instruction.png,Bengali_U+09A1_output.png
Bengali,ঢ,307,307,⟝,U+09A2,Bengali_U+09A2_instruction.png,Bengali_U+09A2_output.png
Bengali,ণ,308,308,⟞,U+09A3,Bengali_U+09A3_instruction.png,Bengali_U+09A3_output.png
Bengali,ত,309,309,⟟,U+09A4,Bengali_U+09A4_instruction.png,Bengali_U+09A4_output.png
Bengali,থ,310,310,⟠,U+09A5,Bengali_U+09A5_instruction.png,Bengali_U+09A5_output.png
Bengali,দ,311,311,⟡,U+09A6,Bengali_U+09A6_instruction.png,Bengali_U+09A6_output.png
Bengali,ধ,312,312,⟢,U+09A7,Bengali_U+09A7_instruction.png,Bengali_U+09A7_output.png
Bengali,ন,313,313,⟣,U+09A8,Bengali_U+09A8_instruction.png,Bengali_U+09A8_output.png
Bengali,প,314,314,⟤,U+09AA,Bengali_U+09AA_instruction.png,Bengali_U+09AA_output.png
Bengali,ফ,315,315,⟥,U+09AB,Bengali_U+09AB_instruction.png,Bengali_U+09AB_output.png
Bengali,ব,316,316,⟦,U+09AC,Bengali_U+09AC_instruction.png,Bengali_U+09AC_output.png
Bengali,ভ,317,317,⟧,U+09AD,Bengali_U+09AD_instruction.png,Bengali_U+09AD_output.png
Bengali,ম,318,318,⟨,U+09AE,Bengali_U+09AE_instruction.png,Bengali_U+09AE_output.png
Bengali,য,319,319,⟩,U+09AF,Bengali_U+09AF_instruction.png,Bengali_U+09AF_output.png
Bengali,র,320,320,⟪,U+09B0,Bengali_U+09B0_instruction.png,Bengali_U+09B0_output.png
Bengali,ল,321,321,⟫,U+09B2,Bengali_U+09B2_instruction.png,Bengali_U+09B2_output.png
Bengali,শ,322,322,⟬,U+09B6,Bengali_U+09B6_instruction.png,Bengali_U+09B6_output.png
Bengali,ষ,323,323,⟭,U+09B7,Bengali_U+09B7_instruction.png,Bengali_U+09B7_output.png
Bengali,স,324,324,⟮,U+09B8,Bengali_U+09B8_instruction.png,Bengali_U+09B8_output.png
Bengali,হ,325,325,⟯,U+09B9,Bengali_U+09B9_instruction.png,Bengali_U+09B9_output.png
Bengali,ৎ,326,326,⦀,U+09CE,Bengali_U+09CE_instruction.png,Bengali_U+09CE_output.png
Bengali,ড়,327,327,⦁,U+09DC,Bengali_U+09DC_instruction.png,Bengali_U+09DC_output.png
Bengali,ঢ়,328,328,⦂,U+09DD,Bengali_U+09DD_instruction.png,Bengali_U+09DD_output.png
Bengali,য়,329,329,⦃,U+09DF,Bengali_U+09DF_instruction.png,Bengali_U+09DF_output.png
Bengali,ৠ,330,330,⦄,U+09E0,Bengali_U+09E0_instruction.png,Bengali_U+09E0_output.png
Bengali,ৡ,331,331,⦅,U+09E1,Bengali_U+09E1_instruction.png,Bengali_U+09E1_output.png
Gurmukhi,ਅ,332,332,⦆,U+0A05,Gurmukhi_U+0A05_instruction.png,Gurmukhi_U+0A05_output.png
Gurmukhi,ਆ,333,0,,U+0A06,Gurmukhi_U+0A06_instruction.png,Gurmukhi_U+0A06_output.png
Gurmukhi,ਇ,334,1,,U+0A07,Gurmukhi_U+0A07_instruction.png,Gurmukhi_U+0A07_output.png
Gurmukhi,ਈ,335,2,,U+0A08,Gurmukhi_U+0A08_instruction.png,Gurmukhi_U+0A08_output.png
Gurmukhi,ਉ,336,3,,U+0A09,Gurmukhi_U+0A09_instruction.png,Gurmukhi_U+0A09_output.png
Gurmukhi,ਊ,337,4,,U+0A0A,Gurmukhi_U+0A0A_instruction.png,Gurmukhi_U+0A0A_output.png
Gurmukhi,ਏ,338,5,,U+0A0F,Gurmukhi_U+0A0F_instruction.png,Gurmukhi_U+0A0F_output.png
Gurmukhi,ਐ,339,6,,U+0A10,Gurmukhi_U+0A10_instruction.png,Gurmukhi_U+0A10_output.png
Gurmukhi,ਓ,340,7,,U+0A13,Gurmukhi_U+0A13_instruction.png,Gurmukhi_U+0A13_output.png
Gurmukhi,ਔ,341,8,,U+0A14,Gurmukhi_U+0A14_instruction.png,Gurmukhi_U+0A14_output.png
Gurmukhi,ਕ,342,9,,U+0A15,Gurmukhi_U+0A15_instruction.png,Gurmukhi_U+0A15_output.png
Gurmukhi,ਖ,343,10,,U+0A16,Gurmukhi_U+0A16_instruction.png,Gurmukhi_U+0A16_output.png
Gurmukhi,ਗ,344,11,,U+0A17,Gurmukhi_U+0A17_instruction.png,Gurmukhi_U+0A17_output.png
Gurmukhi,ਘ,345,12,,U+0A18,Gurmukhi_U+0A18_instruction.png,Gurmukhi_U+0A18_output.png
Gurmukhi,ਙ,346,13,,U+0A19,Gurmukhi_U+0A19_instruction.png,Gurmukhi_U+0A19_output.png
Gurmukhi,ਚ,347,14,,U+0A1A,Gurmukhi_U+0A1A_instruction.png,Gurmukhi_U+0A1A_output.png
Gurmukhi,ਛ,348,15,,U+0A1B,Gurmukhi_U+0A1B_instruction.png,Gurmukhi_U+0A1B_output.png
Gurmukhi,ਜ,349,16,,U+0A1C,Gurmukhi_U+0A1C_instruction.png,Gurmukhi_U+0A1C_output.png
Gurmukhi,ਝ,350,17,,U+0A1D,Gurmukhi_U+0A1D_instruction.png,Gurmukhi_U+0A1D_output.png
Gurmukhi,ਞ,351,18,,U+0A1E,Gurmukhi_U+0A1E_instruction.png,Gurmukhi_U+0A1E_output.png
Gurmukhi,ਟ,352,19,,U+0A1F,Gurmukhi_U+0A1F_instruction.png,Gurmukhi_U+0A1F_output.png
Gurmukhi,ਠ,353,20,,U+0A20,Gurmukhi_U+0A20_instruction.png,Gurmukhi_U+0A20_output.png
Gurmukhi,ਡ,354,21,,U+0A21,Gurmukhi_U+0A21_instruction.png,Gurmukhi_U+0A21_output.png
Gurmukhi,ਢ,355,22,,U+0A22,Gurmukhi_U+0A22_instruction.png,Gurmukhi_U+0A22_output.png
Gurmukhi,ਣ,356,23,,U+0A23,Gurmukhi_U+0A23_instruction.png,Gurmukhi_U+0A23_output.png
Gurmukhi,ਤ,357,24,,U+0A24,Gurmukhi_U+0A24_instruction.png,Gurmukhi_U+0A24_output.png
Gurmukhi,ਥ,358,25,,U+0A25,Gurmukhi_U+0A25_instruction.png,Gurmukhi_U+0A25_output.png
Gurmukhi,ਦ,359,26,,U+0A26,Gurmukhi_U+0A26_instruction.png,Gurmukhi_U+0A26_output.png
Gurmukhi,ਧ,360,27,,U+0A27,Gurmukhi_U+0A27_instruction.png,Gurmukhi_U+0A27_output.png
Gurmukhi,ਨ,361,28,,U+0A28,Gurmukhi_U+0A28_instruction.png,Gurmukhi_U+0A28_output.png
Gurmukhi,ਪ,362,29,,U+0A2A,Gurmukhi_U+0A2A_instruction.png,Gurmukhi_U+0A2A_output.png
Gurmukhi,ਫ,363,30,,U+0A2B,Gurmukhi_U+0A2B_instruction.png,Gurmukhi_U+0A2B_output.png
Gurmukhi,ਬ,364,31,,U+0A2C,Gurmukhi_U+0A2C_instruction.png,Gurmukhi_U+0A2C_output.png
Gurmukhi,ਭ,365,32,,U+0A2D,Gurmukhi_U+0A2D_instruction.png,Gurmukhi_U+0A2D_output.png
Gurmukhi,ਮ,366,33,,U+0A2E,Gurmukhi_U+0A2E_instruction.png,Gurmukhi_U+0A2E_output.png
Gurmukhi,ਯ,367,34,,U+0A2F,Gurmukhi_U+0A2F_instruction.png,Gurmukhi_U+0A2F_output.png
Gurmukhi,ਰ,368,35,,U+0A30,Gurmukhi_U+0A30_instruction.png,Gurmukhi_U+0A30_output.png
Gurmukhi,ਲ,369,36,,U+0A32,Gurmukhi_U+0A32_instruction.png,Gurmukhi_U+0A32_output.png
Gurmukhi,ਵ,370,37,,U+0A35,Gurmukhi_U+0A35_instruction.png,Gurmukhi_U+0A35_output.png
Gurmukhi,ਸ਼,371,38,,U+0A36,Gurmukhi_U+0A36_instruction.png,Gurmukhi_U+0A36_output.png
Gurmukhi,ਸ,372,39,,U+0A38,Gurmukhi_U+0A38_instruction.png,Gurmukhi_U+0A38_output.png
Gurmukhi,ਹ,373,40,,U+0A39,Gurmukhi_U+0A39_instruction.png,Gurmukhi_U+0A39_output.png
Gujarati,અ,374,41,,U+0A85,Gujarati_U+0A85_instruction.png,Gujarati_U+0A85_output.png
Gujarati,આ,375,42,,U+0A86,Gujarati_U+0A86_instruction.png,Gujarati_U+0A86_output.png
Gujarati,ઇ,376,43,,U+0A87,Gujarati_U+0A87_instruction.png,Gujarati_U+0A87_output.png
Gujarati,ઈ,377,44,,U+0A88,Gujarati_U+0A88_instruction.png,Gujarati_U+0A88_output.png
Gujarati,ઉ,378,45,,U+0A89,Gujarati_U+0A89_instruction.png,Gujarati_U+0A89_output.png
Gujarati,ઊ,379,46,,U+0A8A,Gujarati_U+0A8A_instruction.png,Gujarati_U+0A8A_output.png
Gujarati,ઋ,380,47,,U+0A8B,Gujarati_U+0A8B_instruction.png,Gujarati_U+0A8B_output.png
Gujarati,ઌ,381,48,,U+0A8C,Gujarati_U+0A8C_instruction.png,Gujarati_U+0A8C_output.png
Gujarati,એ,382,49,,U+0A8F,Gujarati_U+0A8F_instruction.png,Gujarati_U+0A8F_output.png
Gujarati,ઐ,383,50,,U+0A90,Gujarati_U+0A90_instruction.png,Gujarati_U+0A90_output.png
